,precision,recall,f1-score,support
0,0.9582857142857143,0.9643473260494537,0.9613069647463457,1739.0
1,0.9520313264806657,0.9798488664987406,0.9657398212512414,1985.0
2,0.9074505238649593,0.9011560693641618,0.904292343387471,1730.0
3,0.9021678710394664,0.8991689750692521,0.9006659267480577,1805.0
4,0.9177842565597668,0.9313609467455621,0.9245227606461087,1690.0
5,0.8901315789473684,0.8700964630225081,0.88,1555.0
6,0.9488636363636364,0.9515669515669516,0.9502133712660028,1755.0
7,0.9260089686098655,0.9413105413105413,0.9335970613167561,1755.0
8,0.9074299634591961,0.8785377358490566,0.8927501497902935,1696.0
9,0.9016393442622951,0.8910614525139665,0.8963191907839281,1790.0
accuracy,0.9221714285714285,0.9221714285714285,0.9221714285714285,0.9221714285714285
macro avg,0.9211793183872933,0.9208455327990194,0.9209407589936205,17500.0
weighted avg,0.9218908867744892,0.9221714285714285,0.9219588850823093,17500.0
