,precision,recall,f1-score,support
0,1.0,0.9838709677419355,0.991869918699187,62.0
1,0.9056603773584906,1.0,0.9504950495049505,48.0
2,0.9803921568627451,1.0,0.99009900990099,50.0
3,0.9411764705882353,1.0,0.9696969696969697,48.0
4,0.9655172413793104,1.0,0.9824561403508771,56.0
5,0.9811320754716981,0.9285714285714286,0.9541284403669724,56.0
6,0.9811320754716981,0.9629629629629629,0.9719626168224299,54.0
7,1.0,0.9814814814814815,0.9906542056074767,54.0
8,0.9777777777777777,0.8979591836734694,0.9361702127659575,49.0
9,0.967741935483871,0.9523809523809523,0.96,63.0
accuracy,0.9703703703703703,0.9703703703703703,0.9703703703703703,0.9703703703703703
macro avg,0.9700530110393825,0.970722697681223,0.969753256371581,540.0
weighted avg,0.9713705989079688,0.9703703703703703,0.9702823846908106,540.0
